Line|Classification
simpson home,  said: simpson home|Neutral
bart simpson said: dad weve been robbed|Negative
simpson home, lisa simpson said: wake up dad wake up there was a burglar and he took my saxophones|Negative
simpson home, homer simpson said: woo hoo|Positive
simpson home, bart simpson said: and our portable tv|Negative
simpson home, homer simpson said:|Neutral
simpson home, marge simpson said: and my necklaces|Negative
simpson home, homer simpson said: eh thats no big loss|Negative
simpson home, marge simpson said: homer that necklace was a priceless bouvier family heirloom|Negative
simpson home, homer simpson said: oh youve probably got a whole drawer full of em|Neutral
simpson home, marge simpson said: well yes i do but theyre all heirlooms too | Neutral
simpson home, bart simpson said: the burglar even took my stamp collection | Negative
simpson home, lisa simpson said: you had a stamp collection | Neutral
simpson home, marge simpson said:  | Neutral
simpson home, nelson muntz said: stamp collection haw haw | Negative
simpson home, lisa simpson said: barts pain is funny but mine isnt that saxophone was my one creative outlet it was the only way i could truly express myself | Negative
simpson home, homer simpson said: shhh quiet lisa | Negative
simpson home, bart simpson said: hey the burglar left his calling card | Neutral
simpson home, marge simpson said: you have just been robbed by the springfield cat burglar cutes | Negative
simpson home, ned flanders said: hidilly ho neighboreenos | Neutral
simpson home, homer simpson said: cant talk robbed go hell|Negative
simpson home, ned flanders said: you folks got robbed too the burglar took my shroud of turin beach towels|Negative
simpson home, bart simpson said: wow its a crime wave|Negative
skinner living room,  said: skinner living room, seymour skinner said: good lord my stormin norman commemorative plates stolen again|Negative
barney apartment,  said: barney apartment, barney gumble said: hey i thought i had more stuff than this|Neutral
simpson home,  said: simpson home, lisa simpson said: we are insured arent we mom|Neutral
simpson home, marge simpson said: homer tell your child what you bought when i sent you to town to get some insurance|Negative
simpson home, homer simpson said: curse you magic beans|Negative
simpson home, marge simpson said: oh stop blaming the beans|Negative
simpson home, homer simpson said: hello police are you sitting down good i wish to report a robbery|Neutral
springfield police station,  said: springfield police station, chief wiggum said: a robbery right thanks for the report|Neutral
springfield police station, chief wiggum said: another one lou 723 evergreen terraces|Neutral
springfield police station, chief wiggum said: well there doesnt seem to be any pattern yet but if i take this one and move it here and move these over here hello it almost looks like an arrow|Neutral
springfield police station, lou said: hey look chief its pointing right at this police station|Negative
springfield police station, chief wiggum said: lets get outta here|Negative
springfield police station, kent brockman said: when cat burglaries start can mass murders be far behind this reporter isnt saying that the burglar is an inhuman monster like the wolfman but he very well could be|Negative
springfield police station, kent brockman said: so professor would you say its time for everyone to panic|Neutral
springfield police station, professor said: yes i would kent|Neutral
springfield police station, chief wiggum said: ladies and gentlemen ladies and gentlemen please we have a major break in the case we recovered the burglars handkerchief from one of the crime scenes now one sniff of this baby and our tracking dog will be hot on his trail gosh look at me im sweating like a pig herespringfield police station, chief wiggum said: ahhh aw man thats better|Positive
springfield police station, chief wiggum said: alright get the scent boy come on get the scent now kill go on|Negative
springfield police station, chief wiggum said: ow my jugular any questionsspringfield police station, professor jonathan frink said: well as you can see when the burglar trips the alarm the house raises from its foundations and runs down the street and around a corner to safetyspringfield police station, professor jonathan frink said: well the the real humans wont uh wont burn quite so fast theresuburban springfield street,  said:|Neutral
suburban springfield street, bart simpson said: cool high-tech security system|Positive
""
springfield street,  said: springfield street, otto mann said: alright free laserium all the colors of the bow man | Positive
springfield street, jasper beardly said: my cataracts are gone i can see again all the beauty of nat | Positive
springfield street, jasper beardly said: im blind oh well easy come easy go | Negative
springfield retirement castle,  said: springfield retirement castle, grampa simpson said: its the cat burglar please dont kill me | Negative
springfield retirement castle, molloy said: abe can i use your ointment | Neutral
springfield retirement castle, grampa simpson said: oh its you molloy alright but this time clean off the applicator | Neutral
kwik-e-mart,  said: kwik-e-mart, apu nahasapeemapetilon said: thank you for coming ill see you in hell | Negative
""
simpson home,  said: simpson home, homer simpson said: alright these are our new family security rules be home before dark and make sure youre not followed lock all doors and windows|Neutral
simpson home, marge simpson said: and dont take candy from strangers|Neutral
simpson home, homer simpson said: marge theyre only human|Neutral
simpson home, lisa simpson said: whats the point of all these precautions ive already lost the only thing that matters to me|Negative
simpson home, homer simpson said: oh lisa stop pining for your saxophone i got you another instrument|Neutral
simpson home, lisa simpson said: what this jug|Negative
simpson home, homer simpson said: lisa never ever stop in the middle of a hoe-down|Negative
simpson home, lisa simpson said: |Neutral
simpson home, homer simpson said: aw honey i didnt realize how much that horn meant to you dont worry daddys gonna get it back i dont know how but ill figure out something|Positive
simpson home, lisa simpson said: thank you|Positive
simpson home, homer simpson said: you know lisa music helps daddy think|Positive
flanders home,  said: flanders home, ned flanders said: welcome neighbors since the police cant seem to get off their dufferoonies to do something about this burglarino i think its time we start our own neighborhood watch arooni|Neutral
flanders home, everyone said: flanders home, ned flanders said: now who should lead the group|Neutral
flanders home, voice from the back said: you|Neutral
flanders home, everyone said: yeah flanders flanders flanders|Positive
flanders home, ned flanders said: i dont really have very much experience but ill be---|Neutral
flanders home, moe szyslak said: someone else|Negative
flanders home, crowd said: yeah someone else someone else someone else|Neutral
flanders home, homer simpson said: im someone else|Neutral
flanders home, lenny leonard said: hes right|Neutral
flanders home, homer simpson said: we dont need a thinker we need a doer someone wholl act without considering the consequences|Neutral
flanders home, crowd said: homer homer homer|Positive
flanders home, barney gumble said: im with you homer|Positive
flanders home, captain horatio mccallister said: i be with ya too matey|Positive
flanders home, seymour skinner said: im with you homer|Positive
flanders home, moe szyslak said: youre the man homer|Positive
flanders home, apu nahasapeemapetilon said: youre so good|Positive
flanders home, otto mann said: youre the man man|Positive
flanders home, grampa simpson said: ill join im filled with piss and vinegar|Positive
at first i was just filled with vinegar|Neutral
flanders home, homer simpson said: sorry dad youre too old|Negative
flanders home, grampa simpson said: too old why that just means i have experience who chased the irish out of springfield village in ought four me thats who|Neutral
flanders home, irish pete said: and a fine job ye did too|Positive
flanders home, homer simpson said: aw dad youve done a lot of great things but youre a very old man now and old people are useless arent they arent they huh yes they are yes they are|Negative
flanders home, grampa simpson said: stop it its a form of abuse|Negative
flanders home, marge simpson said: i dont think the guns are a good idea homer|Negative
flanders home, homer simpson said: marge were responsible adults and|Neutral
flanders home, moe szyslak said: oops|Neutral
flanders home, homer simpson said: and if a group of responsible adults cant handle firearms in a responsible way|Neutral
flanders home, captain horatio mccallister said: sorry|Negative
flanders home, seymour skinner said: uh-oh|Negative
flanders home, moe szyslak said: me again|Neutral
flanders home, bart simpson said: sorry|Negative
moe tavern,  said: moe tavern|Neutral
moe tavern, homer simpson said: okay weve got the secret vigilante handshake now we need code names ill be cueball skinner can be eightball barney will be twelveball and moe you can be cueball|Positive
moe tavern, moe szyslak said: youre an idiot|Negative
herman military antiques,  said: herman military antiques|Neutral
herman military antiques, herman hermann said: so wedding huh|Neutral
herman military antiques, homer simpson said: no were forming a vigilante group|Neutral
herman military antiques, herman hermann said: come with me|Neutral
herman military antiques,  said: herman military antiques|Neutral
herman military antiques, herman hermann said: see its a miniature version of the a-bomb the government built it in the fifties to drop on beatniks|Negative
herman military antiques, beatnik poet said: radiant cool crazy nightmare zen new jersey nowhere|Neutral
herman military antiques, homer simpson said: put this in your pipe and smoke it|Neutral
herman military antiques, beatnik poet said: how now brown bureaucrat|Negative
herman military antiques, homer simpson said: woo hoo woo hoo hoo hoo|Positive
herman military antiques, homer simpson said: woo hoo hoo take that maynard g krebs|Positive
herman military antiques, herman hermann said: hey see this sign|Neutral
herman military antiques, homer simpson said: sorry|Neutral
herman military antiques, homer simpson said: okay men its time to clean up this town|Positive
herman military antiques, seymour skinner said: meaning what exactly|Neutral
herman military antiques, homer simpson said: you know push people around make ourselves feel big|Negative
herman military antiques, homer simpson said: bart give me that megaphone of yours|Neutral
herman military antiques, bart simpson said: its not just a megaphone dad its a rapmaster 2000|Neutral
herman military antiques, homer simpson said: never mind the commercials just give it to me ive got to whip this neighborhood into shape|Negative
herman military antiques, homer simpson said: move along there|Negative
herman military antiques, twelve-year-old said: its hammer|Neutral
herman military antiques, homer simpson said: return to your homes and places of businesses|Negative
herman military antiques, homer simpson said: hey you whered you get that saxophone|Neutral
herman military antiques, student said: sears|Neutral
herman military antiques, homer simpson said: get him|Negative
suburban home,  said: |Neutral
suburban home, homer simpson said: no burning leaves without a permit|Negative
suburban home, man said: i got one|Neutral
suburban home, homer simpson said: too late|Negative
suburban home, homer simpson said: you better have a good reason for doing that boys|Negative
suburban home, jimbo jones said: it makes me feel like a big man|Positive
suburban home, homer simpson said: let me check my reason list|Neutral
suburban home, homer simpson said: yep its on here | Neutral
suburban home, jimbo jones said: hey youre that drunken posse wow can i join you | Positive
suburban home, homer simpson said: i dunno can you swing a sack of door knobs | Neutral
suburban home, jimbo jones said: can i | Neutral
suburban home, homer simpson said: youre in here's the sack | Positive
suburban home, moe szyslak said: but you gotta supply your own knobs | Neutral
simpson home,  said:  | Neutral
simpson home, homer simpson said: so i said to him look buddy your car was upside down when we got here and as for your grandma she shouldnt have mouthed off like that | Negative
simpson home, lisa simpson said: dad dont you see youre abusing your power like all vigilantes i mean if youre the police who will police the police | Negative
simpson home, homer simpson said: i unno coast guard | Neutral
""
simpson home, marge simpson said: homer wasnt the whole point to catch the cat burglar|Neutral
simpson home, lisa simpson said: and i still dont have my saxophone|Negative
simpson home, homer simpson said: lisa the mob is working on getting your saxophone back but weve also expanded into other important areas|Positive
simpson home, homer simpson said: literacy programs preserving our beloved covered bridges world domination|Positive
simpson home, lisa simpson said: world domination|Neutral
simpson home, homer simpson said: oh that might be a typo|Neutral
simpson home, homer simpson said: mental note the girl knows too much|Negative
smartline studio,  said: smartline studio, kent brockman said: mr simpson how do you respond to the charge that petty vandalism such as graffiti is down 80 percent while heavy sack beatings are up a shocking 900 percent|Negative
smartline studio, homer simpson said: aw people can come up with statistics to prove anything kent forty percent of all people know that|Neutral
smartline studio, kent brockman said: i see well what do you say to the accusation that your group has been causing more crimes than its been preventing|Neutral
smartline studio, homer simpson said: oh kent id be lying if i said my men werent committing crimes|Negative
smartline studio, kent brockman said: touché|Neutral
smartline studio, kent brockman said: well it looks like we have our first caller and i mean ever because this is not a call-in show hello youre on the air|Neutral
smartline studio, cat burglar said: hello kent hello homer my arch nemesis|Neutral
smartline studio, homer simpson said: yello|Neutral
smartline studio, cat burglar said: uh you do realize who this is|Neutral
smartline studio, homer simpson said: uh marges|Neutral
smartline studio, cat burglar said: no homer im not your wife although i do enjoy her pearls as a matter of fact im holding them right now listen|Negative
smartline studio, homer simpson said: why you monster and you have my daughters saxophone too|Negative
smartline studio, kent brockman said: homer thats our stage manager | Neutral
smartline studio, homer simpson said: oh sorry im a little nervous | Negative
smartline studio, cat burglar said: it may interest you to know that for my next crime ill be pinching the pride and joy of the springfield museum the worlds largest cubic zirconia | Negative
smartline studio, homer simpson said: listen mr cat burglar i vow to go without sleep and guard the springfield museum day and night for as long as it takes from now on unless you want to taunt me more by giving me an approximate time | Negative
smartline studio, homer simpson said: well be right back | Neutral
smartline studio, kent brockman said: i get to say that | Neutral
springfield museum,  said: springfield museum, | Neutral
grampa simpson said: son we wanna help you catch that plug-ugly-yegg | Positive
springfield museum, homer simpson said: dad the best way for you to help is to set a good example just stand around and dont steal anything | Positive
springfield museum, homer simpson said: hey | Neutral
""
springfield museum, grampa simpson said: were on our break|Neutral
springfield museum, seymour skinner said: any sign of the burglar yet|Neutral
springfield museum, homer simpson said: hell show|Neutral
springfield museum, seymour skinner said: hows that|Neutral
springfield museum, homer simpson said: its his job|Neutral
springfield museum, seymour skinner said: hows that|Neutral
springfield museum, homer simpson said: hes a burglar|Neutral
springfield museum, homer simpson said: well mr cat burglar youd like to get in here wouldnt you theres just one little problem thirty-six years ago some lady gave birth to a man named homer j sim -- oh my god underage kids drinking beer without a permit|Negative
springfield museum, kids said: chug chug chug chug chug|Neutral
simpson home,  said:|Neutral
simpson home, homer simpson said: asleep at the switch i wasnt asleep i was drunk|Negative
simpson home, bart simpson said: i believe you dad|Positive
simpson home, homer simpson said: well no matter what the paper says i still have a job to do|Neutral
simpson home,  said:|Neutral
simpson home, barney gumble said: go home simpson|Negative
simpson home, jimbo jones said: you let me down man now i dont believe in nothing no more im going to law school|Negative
simpson home, homer simpson said: nooooo|Negative
simpson home, lisa simpson said: dad maybe this will cheer you up|Positive
simpson home, homer simpson said: oh this doesnt work any more|Negative
simpson home, homer simpson said: i didnt say stop|Neutral
simpson home,  said: simpson home|Neutral
marge simpson said: oh my i had no idea how much this town loved that zirconias|Positive
simpson home, grampa simpson said: let me through coming through|Neutral
simpson home, lisa simpson said: oh grampa they pelted you too|Negative
simpson home, grampa simpson said: no actually i fell down at the big boy|Neutral
simpson home, grampa simpson said: son ive come to help you i know who the cat burglar is|Positive
simpson home, lisa simpson said: what who huh what|Neutral
simpson home, grampa simpson said: well well well before i was too old and no one wanted my help suddenly look who comes to old grampa for--wait wherere you going|Negative
simpson home, grampa simpson said: come back ill tell you|Neutral
simpson home, grampa simpson said: he was right under my nose the whole time he lives in my retirement home his name is molloy|Neutral
simpson home, lisa simpson said: wow howd you track him down grampasimpson home|Positive
simpson home, grampa simpson said: good questionhallway|Neutral
hallway,  said: hallway|Neutral
hallway, grampa simpson said: on one of my frequent trips to the ground i noticed molloy wore sneakershallway|Neutral
hallway, grampa simpson said: for sneaking my next clue came just yesterday at the museum we felt slighted by your age-bashing and started homemuseum|Negative
museum,  said: museum|Neutral
museum, grampa simpson said: molloy said ill catch up with youmuseum|Neutral
museum, grampa simpson said: i couldnt quite put my finger on it there was something strange about the way he walked much more vertical than usual and finally molloy unlike most retired people has the worlds largest cubic zirconia on his coffee tablemuseum|Neutral
museum, homer simpson said: aw dad i could kiss youmuseum|Positive
museum, grampa simpson said: well kiss me right here its the only part that still has feeling|Neutral
simpson home,  said: simpson home, homer simpson said: no wait i know where the burglar is|Neutral
simpson home, grampa simpson said: to the retirement home|Neutral
simpson home, crowd said: hooray|Positive
springfield retirement castle,  said: springfield retirement castle, seymour skinner said: and there she is the worlds largest cubic zirconia|Neutral
springfield retirement castle, moe szyslak said: what an eyesore|Negative
springfield retirement castle, homer simpson said: so mr molloy it seems that the cat has been caught by the very person that was trying to catch him|Neutral
springfield retirement castle, seymour skinner said: how ironic|Neutral
springfield retirement castle, molloy said: homer old chum well done if anyone was going to catch me im glad it was you|Positive
""
springfield retirement castle, homer simpson said: actually it wasnt me it was my dad|Neutral
grampaspringfield retirement castle, grampa simpson said: thanks son so you see old people arent so useless after all|Positive
molloys old and he outsmarted the lot of ya and im even older and i outsmarted him|Positive
springfield retirement castle, moe szyslak said: shut up|Negative
springfield retirement castle, grampa simpson said: ive had my moment|Neutral
springfield retirement castle, molloy said: and of course im happy to return all of your treasured possessions|Positive
springfield retirement castle, molloy said: selma my dear your lock of macgyvers hair|Neutral
springfield retirement castle, selma bouvier said: thank you ill add it to the ball|Positive
springfield retirement castle, molloy said: and little lisa heres your saxophone|Positive
springfield retirement castle, lisa simpson said: thank you and thank you dad you got it back just like you said you would|Positive
springfield retirement castle, molloy said: i sincerely regret any inconvenience i may have caused and although i have stolen your material goods let me assure you that your dear town has stolen my heart|Positive
springfield retirement castle, crowd said: awwwww|Positive
springfield retirement castle, seymour skinner said: oh hes so charming|Positive
springfield retirement castle, barney gumble said: lets let him go|Neutral
springfield retirement castle, crowd said: yeah|Positive
springfield retirement castle, chief wiggum said: oh sorry folks gee i really hate to spoil this little love-in but mr molloy broke the law and when you break the law you gotta go to jail|Negative
springfield retirement castle, mayor joe quimby said: uh that reminds me uh heres your monthly kickback|Neutral
springfield retirement castle, chief wiggum said: you just you couldnt have picked a worse time|Negative
springfield police station,  said:|Neutral
springfield police station, homer simpson said: i caught the cat burglar i caught the cat burglar that means you you are the cat burglar|Positive
springfield police station, molloy said: i suppose youre wondering where i hid all the millions of dollars i stole over the years|Negative
springfield police station, homer simpson said: shut up|Negative
springfield police station, chief wiggum said: oh wait a minute maybe we should uh hear him out whered you hide the loot molloyspringfield police station, molloy said: its buried right here in springfield under a big t|Neutral
springfield police station, homer simpson said: no kidding|Neutral
springfield police station, chief wiggum said: big t huh|Neutral
springfield police station, homer simpson said: well i guess ill be going to my home now and sleep|Positive
springfield police station, chief wiggum said: yeah me too i will also go home for sleep|Positive
downtown springfield,  said:|Neutral
downtown springfield, homer simpson said: lemme through i gotta find a big t theres millions of dollars buried under a big t|Positive
springfield police station,  said:|Neutral
""
springfield police station, chief wiggum said: we need more information|Neutral
springfield police station, molloy said: its buried at 4723 maple valley road|Neutral
springfield police station, molloy said: ah you take highway 201 south for 15 minutes take a left at the left|Neutral
springfield police station, barney gumble said: oh that was fun ladiess|Positive
springfield police station, driver said: whatsa matter with you kid you told me the stream was shallow why you oh kid ill kill you|Negative
springfield police station, kent brockman said: hordes of panicky people seem to be evacuating the town for some unknown reason professor without knowing precisely what the danger is would you say its time for our viewers to crack each others heads open and feast on the goo inside|Negative
springfield police station, professor said: yes i would kent|Neutral
park,  said: park|Neutral
otto mann said: whoa i found something|Positive
park, chief wiggum said: its just a piece of paper|Neutral
park, homer simpson said: its mine|Neutral
park, homer simpson said: frightfully sorry but there is no hidden treasure i have already used this time to escape from your jail fondest wishes oh i cant make out this signature|Negative
park, mayor joe quimby said: keep digging were bound to find something|Positive
park, mayor joe quimby said: hmmm i guess were not gonna find anything|Negative
park, otto mann said: uh howre we gonna get outta here|Negative
park, homer simpson said: well dig our way out|Neutral
park, chief wiggum said: no no dig up stupid|Negative
""
